name,x,y,z
Base_Foot,0.000000,0.140000,-0.000000
Platform,0.000000,0.440000,-0.000000
Platform_Trim,0.000000,0.570000,-0.000000
Center_Column,0.000000,2.550000,-0.000000
Center_Gold_Band,0.000000,2.000000,-0.000000
Canopy_Skirt,0.000000,4.550000,-0.000000
Canopy_Roof,0.000000,5.150000,-0.000000
Canopy_Top,0.000000,5.900000,-0.000000
Horse_01,2.450000,1.965580,-0.145388
Horse_Pole_01,2.452228,2.550000,-0.000000
Horse_02,1.631078,1.965580,-1.833745
Horse_Pole_02,1.734640,2.550000,-1.732412
Horse_03,-0.145388,1.965580,-2.450000
Horse_Pole_03,0.002228,2.550000,-2.450000
Horse_04,-1.833745,1.965580,-1.631078
Horse_Pole_04,-1.730183,2.550000,-1.732412
Horse_05,-2.450000,1.965580,0.145388
Horse_Pole_05,-2.447772,2.550000,-0.000000
Horse_06,-1.631078,1.965580,1.833745
Horse_Pole_06,-1.730183,2.550000,1.732412
Horse_07,0.145388,1.965580,2.450000
Horse_Pole_07,0.002228,2.550000,2.450000
Horse_08,1.833745,1.965580,1.631078
Horse_Pole_08,1.734640,2.550000,1.732412
Light_01,3.200000,4.250000,-0.000000
Light_02,2.956415,4.250000,-1.224587
Light_03,2.262742,4.250000,-2.262742
Light_04,1.224587,4.250000,-2.956415
Light_05,0.000000,4.250000,-3.200000
Light_06,-1.224587,4.250000,-2.956415
Light_07,-2.262742,4.250000,-2.262742
Light_08,-2.956415,4.250000,-1.224587
Light_09,-3.200000,4.250000,-0.000000
Light_10,-2.956415,4.250000,1.224587
Light_11,-2.262742,4.250000,2.262742
Light_12,-1.224587,4.250000,2.956415
Light_13,-0.000000,4.250000,3.200000
Light_14,1.224587,4.250000,2.956415
Light_15,2.262742,4.250000,2.262742
Light_16,2.956415,4.250000,1.224587
